ID: 3, Name: Кукла, колличество: 5
ID: 2, Name: Робот, колличество: 1
ID: 3, Name: Кукла, колличество: 4
ID: 3, Name: Кукла, колличество: 3
ID: 1, Name: Конструктор, колличество: 1
ID: 3, Name: Кукла, колличество: 2
ID: 3, Name: Кукла, колличество: 1
ID: 2, Name: Робот, колличество: 0
ID: 3, Name: Кукла, колличество: 0
ID: 3, Name: Кукла, колличество: 5
ID: 3, Name: Кукла, колличество: 4
ID: 3, Name: Кукла, колличество: 3
ID: 3, Name: Кукла, колличество: 2
ID: 2, Name: Робот, колличество: 1
ID: 3, Name: Кукла, колличество: 1
ID: 3, Name: Кукла, колличество: 0
ID: 2, Name: Робот, колличество: 1
ID: 3, Name: Кукла, колличество: 5
ID: 2, Name: Робот, колличество: 0
ID: 1, Name: Конструктор, колличество: 1
ID: 3, Name: Кукла, колличество: 4
ID: 3, Name: Кукла, колличество: 3
ID: 3, Name: Кукла, колличество: 2
ID: 3, Name: Кукла, колличество: 1
ID: 3, Name: Кукла, колличество: 0
ID: 1, Name: Конструктор, колличество: 0
ID: 2, Name: Робот, колличество: 1
ID: 1, Name: Конструктор, колличество: 1
ID: 2, Name: Робот, колличество: 0
ID: 3, Name: Кукла, колличество: 5
ID: 1, Name: Конструктор, колличество: 0
ID: 3, Name: Кукла, колличество: 4
ID: 3, Name: Кукла, колличество: 3
ID: 3, Name: Кукла, колличество: 2
ID: 3, Name: Кукла, колличество: 1
ID: 3, Name: Кукла, колличество: 0
ID: 3, Name: Кукла, колличество: 5
ID: 3, Name: Кукла, колличество: 4
ID: 3, Name: Кукла, колличество: 3
ID: 3, Name: Кукла, колличество: 2
ID: 3, Name: Кукла, колличество: 1
ID: 3, Name: Кукла, колличество: 0
ID: 1, Name: Конструктор, колличество: 1
ID: 1, Name: Конструктор, колличество: 0
ID: 2, Name: Робот, колличество: 1
ID: 2, Name: Робот, колличество: 0
ID: 3, Name: Кукла, колличество: 5
ID: 1, Name: Конструктор, колличество: 1
ID: 3, Name: Кукла, колличество: 4
ID: 3, Name: Кукла, колличество: 3
ID: 3, Name: Кукла, колличество: 2
ID: 1, Name: Конструктор, колличество: 0
ID: 3, Name: Кукла, колличество: 1
ID: 3, Name: Кукла, колличество: 0
ID: 1, Name: Конструктор, колличество: 1
ID: 2, Name: Робот, колличество: 1
ID: 3, Name: Кукла, колличество: 5
ID: 1, Name: Конструктор, колличество: 0
ID: 3, Name: Кукла, колличество: 4
ID: 2, Name: Робот, колличество: 0
ID: 3, Name: Кукла, колличество: 3
ID: 3, Name: Кукла, колличество: 2
ID: 3, Name: Кукла, колличество: 1
ID: 3, Name: Кукла, колличество: 0
